iter	Passed	Remaining
0	0	569
1	1	665
2	1	663
3	2	668
4	3	618
5	3	632
6	4	640
7	5	652
8	5	630
9	6	614
10	6	626
11	7	632
12	8	625
13	8	628
14	9	631
15	10	635
16	11	639
17	11	621
18	11	609
19	12	613
20	12	600
21	13	604
22	13	590
23	14	594
24	15	598
25	16	606
26	16	599
27	17	604
28	18	608
29	18	610
30	19	612
31	19	601
32	20	602
33	21	603
34	21	604
35	22	605
36	23	606
37	24	607
38	24	598
39	24	599
40	25	600
41	26	601
42	27	601
43	27	602
44	28	603
45	29	603
46	29	599
47	30	602
48	31	602
49	31	603
50	32	601
51	32	601
52	33	601
53	34	599
54	34	600
55	35	594
56	35	595
57	36	591
58	37	592
59	37	588
60	38	589
61	38	589
62	39	589
63	39	584
64	40	584
65	41	584
66	42	585
67	42	586
68	43	583
69	43	583
70	44	582
71	45	582
72	45	582
73	46	578
74	46	579
75	47	579
76	48	575
77	48	573
78	49	574
79	49	571
80	50	571
81	50	570
82	51	568
83	52	568
84	52	569
85	53	569
86	54	569
87	54	564
88	55	565
89	55	565
90	56	565
91	57	566
92	57	562
93	58	562
94	59	562
95	59	562
96	60	562
97	61	562
98	61	562
99	62	562
100	63	562
101	63	562
102	64	562
103	65	562
104	65	562
105	66	560
106	67	560
107	67	561
108	68	561
109	69	561
110	70	561
111	70	558
112	71	558
113	71	558
114	72	554
115	72	552
116	73	551
117	73	551
118	74	551
119	75	550
120	75	549
121	76	549
122	77	549
123	77	549
124	78	549
125	79	549
126	79	549
127	80	549
128	81	549
129	82	549
130	82	548
131	83	546
132	83	545
133	84	544
134	85	544
135	85	544
136	86	544
137	87	544
138	87	542
139	88	542
140	89	542
141	89	542
142	90	540
143	90	539
144	91	539
145	92	539
146	93	539
147	93	539
148	94	539
149	95	539
150	95	537
151	96	537
152	96	536
153	97	536
154	97	534
155	98	533
156	99	533
157	100	533
158	100	533
159	101	533
160	101	530
161	102	528
162	102	528
163	103	528
164	104	526
165	104	526
166	105	525
167	106	525
168	106	525
169	107	524
170	108	524
171	108	524
172	109	523
173	110	523
174	110	523
175	111	521
176	112	521
177	112	519
178	113	519
179	113	519
180	114	518
181	115	518
182	116	518
183	116	517
184	117	518
185	118	517
186	119	517
187	119	517
188	120	516
189	121	516
190	121	516
191	122	515
192	122	514
193	123	513
194	124	513
195	124	512
196	125	511
197	126	511
198	126	510
199	127	510
200	128	510
201	128	509
202	129	509
203	130	509
204	130	507
205	131	507
206	132	507
207	133	506
208	133	506
209	134	506
210	135	505
211	135	505
212	136	504
213	137	504
214	138	504
215	138	503
216	139	503
217	140	503
218	141	503
219	141	503
220	142	503
221	143	502
222	144	502
223	144	501
224	145	501
225	146	501
226	147	500
227	147	500
228	148	499
229	149	499
230	149	498
231	150	498
232	151	497
233	151	497
234	152	496
235	152	494
236	153	494
237	154	493
238	154	493
239	155	491
240	156	491
241	156	490
242	157	489
243	157	489
244	158	488
245	159	487
246	159	485
247	160	485
248	160	484
249	161	483
250	161	483
251	162	482
252	163	482
253	164	481
254	164	481
255	165	480
256	165	479
257	166	479
258	167	478
259	168	478
260	168	478
261	169	477
262	170	476
263	170	475
264	171	475
265	171	474
266	172	473
267	173	473
268	173	472
269	174	471
270	175	471
271	175	470
272	176	470
273	177	469
274	178	469
275	178	469
276	179	468
277	180	468
278	181	467
279	181	467
280	182	466
281	183	466
282	183	465
283	184	465
284	185	464
285	185	463
286	186	463
287	187	462
288	187	461
289	188	461
290	189	461
291	189	460
292	190	460
293	191	458
294	191	457
295	192	457
296	192	456
297	193	456
298	194	455
299	195	455
300	195	454
301	196	454
302	197	453
303	197	453
304	198	452
305	198	451
306	199	450
307	200	450
308	201	449
309	201	449
310	202	448
311	203	448
312	203	447
313	204	447
314	205	446
315	206	446
316	206	445
317	207	445
318	208	444
319	209	444
320	209	443
321	210	442
322	210	442
323	211	441
324	212	441
325	213	440
326	214	440
327	214	439
328	215	439
329	216	438
330	216	438
331	217	437
332	218	437
333	218	436
334	219	436
335	220	435
336	221	434
337	221	434
338	222	433
339	223	433
340	223	432
341	224	431
342	224	430
343	225	429
344	226	429
345	226	428
346	227	428
347	228	427
348	228	427
349	229	426
350	230	426
351	231	425
352	231	424
353	232	424
354	233	423
355	233	423
356	234	422
357	235	422
358	236	421
359	236	421
360	237	420
361	238	419
362	239	419
363	239	418
364	239	417
365	240	416
366	241	416
367	242	415
368	242	415
369	243	414
370	244	414
371	244	413
372	245	412
373	246	412
374	247	411
375	247	411
376	248	410
377	248	409
378	249	409
379	250	408
380	251	407
381	251	407
382	252	406
383	253	406
384	254	405
385	254	405
386	255	404
387	256	404
388	256	403
389	257	403
390	258	402
391	259	401
392	259	401
393	260	400
394	261	399
395	261	399
396	262	398
397	262	397
398	263	397
399	264	396
400	264	395
401	265	394
402	266	394
403	266	393
404	267	393
405	268	392
406	268	391
407	269	391
408	270	390
409	271	390
410	271	389
411	272	389
412	273	388
413	273	387
